,set_id,text,gender,age,country
0,00026029e0--64991b6eef1fe70609d48edc,The delicious aroma of freshly baked bread filled the bakery.,MALE,29,ZA
1,00026029e0--64991b72e0daf97163c09c66,I enjoy taking long walks in the peaceful countryside.,FEMALE,42,NG
2,00026029e0--64991b7fd94c0d5726dec353,The suspenseful novel kept me on the edge of my seat.,FEMALE,29,VN
3,00026029e0--64991b907f82d9763944eba2,They celebrated their anniversary with a romantic candlelit dinner.,FEMALE,20,PK
4,00026029e0--64991bf2ffab6240f9f2418b,The diligent student earned top marks for her exceptional work.,MALE,30,PK
5,00026029e0--64991bfc63d8b20f56d0e1fb,The rhythmic beat of the drums echoed through the concert hall.,MALE,18,IN
6,00026029e0--64991c0dd94c0d5726df032a,The curious child eagerly explored the vast museum exhibits.,MALE,21,MX
7,00026029e0--64991c3e63d8b20f56d0eeba,The innovative design of the new smartphone impressed tech enthusiasts.,FEMALE,20,PK
8,00026029e0--64991c9e7f82d97639452402,The innovative design of the new smartphone impressed tech enthusiasts.,MALE,34,NG
9,00026029e0--64992031e0daf97163c20229,The breathtaking view from the mountaintop took my breath away.,FEMALE,31,KE
10,00026029e0--64992044d94c0d5726dfffc7,His charismatic personality made him a natural leader among his peers.,FEMALE,24,KE
11,00026029e0--6499205bea5ed167d5bc8a8c,The delicious aroma of freshly baked bread filled the bakery.,FEMALE,22,KE
12,00026029e0--64992099ffab6240f9f3521f,The vibrant colors of the sunset painted the sky with beauty.,MALE,19,MY
13,00026029e0--649920f4ffab6240f9f3677a,The heartfelt apology melted away the tension in the room.,MALE,21,KE
14,00026029e0--64992143ffab6240f9f3787a,She wore a stunning gown that dazzled everyone at the party.,FEMALE,30,KE
15,00026029e0--64992161e0daf97163c2535a,They celebrated their anniversary with a romantic candlelit dinner.,MALE,20,PK
16,00026029e0--6499219aea5ed167d5bccf6f,The curious child eagerly explored the vast museum exhibits.,FEMALE,22,KE
17,00026029e0--64992202ea5ed167d5bce5d3,The starry night sky filled their hearts with a sense of wonder.,FEMALE,31,KE
18,00026029e0--6499226eef1fe70609d66276,The athlete's dedication and hard work led to her victory.,MALE,20,PK
19,00026029e0--6499261299d64c4c5d32c8e2,The talented musician captivated the audience with his mesmerizing performance.,FEMALE,22,NG
